energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri
0.211,0.104,113.011,0.0467,0.918,9.69e-05,3,0.527,3,351133,-12.417,0.0969,1,audio_features,spotify:track:3NcXzMpghTzgtwNZv2xWLe
0.371,0.0759,143.935,0.0269,0.637,0.0643,4,0.627,2,412418,-10.621,0.361,1,audio_features,spotify:track:6TIOhfnPBw0k5s3KHN3VHO
0.473,0.103,108.906,0.0307,0.588,4.35e-05,4,0.436,1,254013,-7.24,0.242,1,audio_features,spotify:track:7tMbZ0RGW0jFsBw7ipEPEV
0.406,0.117,151.95,0.0291,0.08,0.0,3,0.457,9,223067,-7.462,0.208,1,audio_features,spotify:track:1jlG3KJ3gdYmhfuySFfpO1
0.71,0.202,137.752,0.0343,0.146,0.0,4,0.389,1,232200,-3.664,0.34,0,audio_features,spotify:track:5OuP08bgU2H7ZeDQQFQ6q8
0.719,0.228,142.032,0.0323,0.189,0.0,4,0.458,4,240493,-3.921,0.168,0,audio_features,spotify:track:54JKnDB3CzVu8wNAOM27BI
0.546,0.0879,165.92,0.0288,0.713,0.0,4,0.406,4,225987,-5.313,0.278,1,audio_features,spotify:track:4rmfjaAl0kWsyznoJU2ws3
0.654,0.136,164.196,0.0342,0.212,0.0,3,0.385,4,267973,-6.635,0.125,1,audio_features,spotify:track:2o0V0AATmWmCmMOAFWDuEV
0.821,0.186,82.764,0.0404,0.00302,0.019,4,0.394,6,223533,-4.304,0.509,0,audio_features,spotify:track:3hc7PLcmuZbJGPjhIore1i
0.743,0.101,122.035,0.0379,0.269,0.0,4,0.64,10,262533,-4.08,0.361,1,audio_features,spotify:track:5fVZC9GiM4e8vu99W0Xf6J
0.0885,0.126,171.146,0.0479,0.957,0.0,3,0.384,7,259480,-11.166,0.284,0,audio_features,spotify:track:3i7Iyc932rv1AZz7gl7dj8
0.297,0.118,147.569,0.0665,0.653,0.0,4,0.535,6,232800,-6.043,0.0492,1,audio_features,spotify:track:1WO6kvO7P8TOsuhBaqun5w
0.559,0.0696,85.017,0.0253,0.0843,0.0,4,0.512,1,226330,-5.498,0.193,1,audio_features,spotify:track:7xpraKSakDJ6WWgjQEtvgT
0.259,0.0751,138.014,0.049,0.743,0.0,4,0.684,4,217167,-11.053,0.0515,0,audio_features,spotify:track:4VrUT6GeeSRz6MB8tWJSHM
0.314,0.113,124.234,0.0331,0.749,0.0,4,0.489,7,198713,-9.245,0.607,0,audio_features,spotify:track:4ptDJbJl35d7gQfeNteBwp
0.538,0.149,129.092,0.0421,0.895,0.000581,4,0.367,8,233160,-5.121,0.274,0,audio_features,spotify:track:4jDDaKTqcZQWvgubuW6N7l
0.338,0.112,128.867,0.0459,0.858,0.0,4,0.51,6,192945,-6.625,0.471,0,audio_features,spotify:track:3PUZqiIlWm4byEV0WRMHlj
0.498,0.099,76.902,0.0282,0.219,0.00329,4,0.46,5,192993,-6.312,0.154,1,audio_features,spotify:track:4GUXTRTjQ4voLzwLw9qbPx
0.29,0.147,83.622,0.0402,0.971,0.00358,4,0.485,8,216250,-11.682,0.327,1,audio_features,spotify:track:35XEfip4wHj4HwLYyPDWT5
0.27,0.114,121.52,0.0361,0.843,0.0,4,0.496,10,208987,-9.932,0.234,1,audio_features,spotify:track:3CRtbOoAP82y0VbPO5j1ft
0.289,0.148,104.851,0.0348,0.645,0.0,3,0.547,0,181913,-8.131,0.213,1,audio_features,spotify:track:1ArLnG0bHaHPXqf08sEKM0
0.854,0.115,91.854,0.0289,0.0204,1.21e-06,4,0.478,7,274160,-5.454,0.274,1,audio_features,spotify:track:0vvassLAF0xFzSdVpWkvo9
0.247,0.208,143.839,0.0686,0.851,0.0,4,0.669,11,190063,-9.272,0.737,1,audio_features,spotify:track:55GFbaI6W1laRMFdLdRw8Z
0.402,0.109,138.019,0.0346,0.819,0.000181,4,0.297,0,307540,-9.757,0.177,1,audio_features,spotify:track:6VZwnDUMkAZs36g6v9MVQX
0.444,0.711,79.373,0.0325,0.885,1.91e-06,4,0.267,2,204667,-8.554,0.212,1,audio_features,spotify:track:4JO4B5UbDaBMX3uKOkWq3T
0.311,0.107,147.464,0.0288,0.818,1.65e-05,4,0.546,1,260533,-10.396,0.246,1,audio_features,spotify:track:3nnG7AM9QopHVPEuLX3Khk
0.275,0.101,153.769,0.0292,0.494,0.00377,3,0.506,7,298880,-8.464,0.0639,0,audio_features,spotify:track:3ieUtb4ecQgEYxae8dzEUi
0.451,0.11,129.768,0.0626,0.09,0.00048,5,0.424,5,272600,-8.817,0.212,1,audio_features,spotify:track:78pULHVnsTsnAQcOrdALc0
0.131,0.109,137.446,0.0382,0.952,0.00453,4,0.421,0,291796,-18.435,0.12,1,audio_features,spotify:track:6CcJMwBtXByIz4zQLzFkKc
0.249,0.382,75.045,0.0275,0.878,0.0,4,0.38,10,220027,-8.011,0.215,0,audio_features,spotify:track:0kNUZn9pK6nZBus1XOu4nS
0.39,0.11,129.895,0.0868,0.612,0.0,4,0.822,0,194567,-9.324,0.625,1,audio_features,spotify:track:4JwwAxvprUGhrecdjSjfHN
0.586,0.108,134.849,0.0336,0.748,0.0,4,0.66,11,219635,-5.911,0.486,1,audio_features,spotify:track:0EsftWIxQKCoCz5HZtlpkW
0.074,0.108,135.298,0.0598,0.929,0.765,3,0.522,7,141280,-23.625,0.342,0,audio_features,spotify:track:52Bg6oaos7twR7IUtEpqcE
0.532,0.364,103.39,0.0415,0.207,0.0,4,0.564,9,218808,-4.449,0.578,1,audio_features,spotify:track:7577gutYyr0qUjnSzx8lCb
0.452,0.0518,134.762,0.032,0.306,7.36e-06,4,0.33,9,281907,-8.812,0.202,1,audio_features,spotify:track:56tNMp3B93TFDbWRg92qZS
0.538,0.104,75.089,0.0572,0.385,0.0,4,0.509,7,252867,-7.335,0.244,1,audio_features,spotify:track:7DFNE7NO0raLIUbgzY2rzm
0.438,0.103,103.955,0.0292,0.844,1.36e-06,4,0.521,2,233280,-7.703,0.318,1,audio_features,spotify:track:7b0Dqv3LaTDaOW1Fr3RQxz
0.271,0.11,179.972,0.0325,0.779,0.00132,3,0.249,5,283227,-11.57,0.153,1,audio_features,spotify:track:1jKwagQhPUaK9kgcymjgiX
0.267,0.089,110.011,0.0299,0.839,1.46e-06,4,0.567,4,240133,-6.502,0.0592,1,audio_features,spotify:track:1ZMiCix7XSAbfAJlEZWMCp
0.503,0.911,118.664,0.0638,0.79,1.87e-05,4,0.416,4,270677,-9.721,0.237,1,audio_features,spotify:track:6QGDi1CYWtJ8m0yMBGgvDQ
0.22,0.0957,126.618,0.0355,0.847,1.4e-06,4,0.495,5,163960,-11.16,0.345,1,audio_features,spotify:track:71vcffc4Yfz0pt9AbaL386
0.473,0.109,75.801,0.129,0.866,0.0,4,0.464,1,208687,-10.086,0.604,1,audio_features,spotify:track:2kJwzbxV2ppxnQoYw4GLBZ
0.327,0.101,81.329,0.0411,0.824,0.0,4,0.323,2,327773,-7.494,0.335,1,audio_features,spotify:track:442j8VxaB60dWf9cBFuX5w
0.343,0.21,102.819,0.0436,0.556,0.0,4,0.488,4,206459,-8.985,0.0978,1,audio_features,spotify:track:4l0Mvzj72xxOpRrp6h8nHi
